Tl_x_cFTLD	Tl_y_cFTLD	w_cFTLD	h_cFTLD	dx_cfTLD	dy_cfTLD	dw_cfTLD	dh_cfTLD	Tl_x_CMT	Tl_y_CMT	w_CMT	h_CMT	dx_CMT	dy_CMT	dw_CMT	dh_CMT	Tl_x_ST	Tl_y_ST	w_ST	h_ST	dx_ST	dy_ST	dw_ST	dh_ST	Tl_x_GT	Tl_y_GT	w_GT	h_GT	dx_GT	dy_GT	dw_GT	dh_GT	Tl_x	Tl_y	w	h	cFTLD_cov	CMT_cov	STRUCK_cov
298	162	48	80	0	0.392716	0	0	297	159	49	81	0	0	0.0564077	0.0564089	299	162	48	80	0.218469	0.436943	0	0	298	160	48	80	0	0	0	0	298	160	48	80	10.0007	10.0006	10.0011
298	163	48	80	0.134639	0.403925	0	0	298	162	50	82	0.0550917	0.16528	0.0484884	0.0484886	299	162	48	80	-1.09443e-05	-2.73377e-06	0	0	300	160	50	84	2.28935	2.01464	1.55783	3.02703	298	160	48	80	10.0527	10.0008	10.0011
299	166	48	80	0.134623	0.538552	0	0	299	164	50	83	0.0640868	0.192264	-0.00566543	0.0633608	300	165	48	80	-1.09294e-05	1.40947e-08	0	0	301	163	54	89	3.185	3.68726	3.00207	3.96186	299	163	49	81	10.2202	10.0008	10.0011
299	168	48	80	1.64144e-05	4.14941e-06	0	0	299	168	51	83	0.0639168	0.191739	0.0684234	-0.00489512	301	168	48	80	-1.09145e-05	1.59573e-08	0	0	302	166	57	90	2.39104	3.82266	2.92676	2.55593	299	166	50	82	10.0005	10.0008	10.0011
303	174	48	80	0.403914	0.53856	0.134639	0.269279	301	172	51	82	0.10421	0.202793	-0.0048217	-0.000655976	303	172	48	80	-1.08924e-05	-2.73279e-06	0	0	302	168	58	89	1.66214	2.56854	2.10457	0.887327	301	170	51	83	11.4741	10.0009	10.0013
304	175	48	80	4.09727e-06	4.16513e-06	2.08945e-09	4.1789e-09	305	175	50	84	0.154168	0.197877	-0.000819105	0.0550985	305	175	48	80	-1.08626e-05	1.40947e-08	0	0	302	169	57	88	0.852143	1.66896	0.955874	-0.298466	303	173	51	83	10.0005	10.0011	10.001
307	178	49	82	-4.16349e-06	-2.04885e-06	-5.03007e-07	-1.00601e-06	308	177	51	84	0.190703	0.115449	0.000184727	-0.00498046	307	178	48	80	-1.08328e-05	1.59573e-08	0	0	302	169	56	87	0.297689	0.868743	0.253341	-0.567367	305	176	51	83	10.0005	10.0009	10.0012
310	178	48	81	-4.16734e-06	2.06261e-06	-1.53023e-06	-3.06045e-06	311	179	51	83	0.19213	0.126961	2.90293e-06	-0.000815922	309	179	48	80	-1.0803e-05	-5.45925e-06	0	0	303	169	56	86	0.0200393	0.323891	-0.0855958	-0.451562	308	177	51	84	10.0005	10.0009	10.0013
315	179	48	81	0.379462	6.17148e-06	1.03782e-06	2.07564e-06	313	179	50	83	0.331461	0.000681997	-7.81892e-06	0.000214715	312	179	48	80	1.28656e-07	-5.45925e-06	0	0	303	168	56	86	0.278858	0.027785	-0.190985	-0.256693	311	178	51	83	10.0016	10.0007	10.0015
315	178	49	82	0.134635	-2.04627e-06	-2.04383e-06	-4.08767e-06	315	178	50	85	0.138287	-0.00507653	2.22466e-07	0.0690543	314	179	48	80	-1.08291e-05	-5.45925e-06	0	0	304	168	55	86	0.260877	-0.0918315	-0.178378	-0.105979	312	176	51	84	10.0021	10.0008	10.0014
316	178	49	82	-1.65162e-05	-6.15514e-06	-1.01662e-06	-2.03323e-06	317	178	52	85	0.0935984	0.00044701	0.0549159	-0.00429785	315	179	48	80	-1.08251e-05	-5.45925e-06	0	0	304	169	55	86	0.163496	0.162949	-0.124618	-0.0219974	313	176	51	84	10.0005	10.0007	10.0013
316	178	49	82	-0.134652	-2.04627e-06	-2.04383e-06	-4.08767e-06	317	177	52	86	-0.0116686	7.97867e-05	-0.0049785	0.0537189	314	178	48	80	-0.179551	-0.179545	0	0	304	168	55	86	0.0757918	-0.0603756	-0.0701032	0.011755	313	176	52	84	10.0021	10.0006	10.002
315	178	48	81	-9.03337e-08	2.06261e-06	-1.53023e-06	-3.06045e-06	314	177	53	86	-0.169197	-1.84969e-05	0.0825061	-0.00407449	314	178	48	80	1.10886e-05	5.50395e-06	0	0	304	169	55	86	0.0219445	0.146639	-0.0302783	0.018071	312	175	52	84	10.0005	10.0007	10.0014
313	179	49	82	-1.23925e-05	-2.04627e-06	1.55143e-06	3.10286e-06	313	178	51	85	-0.0627456	-4.20108e-06	-0.071745	-0.0011778	312	178	48	80	1.10712e-05	5.50395e-06	0	0	304	169	55	87	-0.00246029	0.184467	-0.00693598	0.0136643	311	175	52	85	10.0005	10.0006	10.0014
311	179	49	82	1.2273e-05	-4.1007e-06	1.03782e-06	2.07564e-06	311	177	51	87	-0.160082	3.8403e-06	0.000756344	0.0839139	310	179	48	80	1.10414e-05	-5.45925e-06	0	0	304	169	55	87	-0.00915228	0.148068	0.00377648	0.00749055	309	175	52	85	10.0005	10.0007	10.0013
309	179	49	82	-1.64679e-05	8.21292e-06	-5.04069e-07	-3.06575e-06	309	178	53	87	-0.130974	0.0690266	0.0708922	-0.00290759	308	180	48	80	1.10116e-05	-5.44621e-06	0	0	304	169	55	87	-0.00800293	0.0936621	0.00678076	0.0029415	307	176	52	85	10.0005	10.0007	10.0013
307	178	50	83	-0.134644	-2.05342e-06	1.55841e-06	1.02479e-06	307	179	53	88	-0.126428	0.064728	-0.00448015	0.0673575	306	180	48	80	1.09818e-05	-5.44621e-06	0	0	303	169	56	87	-0.356813	0.0474086	0.00605143	0.000495115	305	176	52	85	10.0021	10.0007	10.0015
307	178	50	83	-1.64513e-05	8.21876e-06	-1.52324e-06	-4.1113e-06	306	179	54	88	0.0105471	-0.00549199	0.0678003	-0.00407359	305	180	48	80	1.09741e-05	-5.44621e-06	0	0	302	168	56	87	-0.691241	-0.25776	0.0041139	-0.000436715	304	176	52	85	10.0005	10.0006	10.0016
305	178	51	85	1.64197e-05	-6.16631e-06	-1.01522e-06	-2.04627e-06	305	178	54	87	-0.0670719	-0.000989706	-0.00407875	-0.00117869	304	180	48	80	1.09592e-05	-5.44621e-06	0	0	300	168	56	87	-1.25547	-0.302089	0.00225286	-0.000570985	303	176	53	86	10.0005	10.0006	10.0022
303	177	51	85	-8.23603e-06	-2.05707e-06	-1.03753e-06	-3.06252e-06	303	177	53	90	-0.164941	0.000236157	-0.00164109	0.167619	302	180	48	80	1.0952e-05	-5.44621e-06	0	0	299	168	56	86	-0.988331	-0.23583	0.00093148	-0.000409861	301	176	53	87	10.0005	10.0008	10.0021
298	176	51	86	-0.53855	6.16067e-06	-1.03198e-06	-9.92045e-07	299	176	55	91	-0.199583	-0.0690126	0.0692361	0.0631876	299	180	48	80	-9.44647e-09	-5.44621e-06	0	0	298	168	56	86	-0.909692	-0.146051	0.274873	-0.000213828	298	175	54	88	10.1837	10.0009	10.0028
296	176	51	86	-4.1215e-06	6.16067e-06	5.08844e-07	2.08961e-06	296	175	56	93	-0.191086	0.00428812	0.0647506	0.13043	296	180	48	80	-9.44647e-09	-5.44621e-06	0	0	296	168	56	86	-1.2691	-0.0720584	0.302723	-0.352056	295	174	54	89	10.0005	10.0009	10.0028
289	176	52	87	-0.569214	-8.22038e-06	5.08844e-07	3.51731e-08	291	174	58	94	-0.260079	0.00119755	0.132552	0.0596762	293	180	48	80	-9.44647e-09	-5.44621e-06	0	0	294	168	57	85	-1.63768	-0.299046	0.504769	-0.689091	291	174	55	89	10.0029	10.0011	10.0027
289	176	52	87	-4.11816e-06	0.134639	-2.0592e-06	-4.0737e-06	288	175	58	95	-0.235133	0.0834886	-0.00729709	0.077738	290	180	48	80	-9.44647e-09	-5.44621e-06	0	0	292	168	58	84	-1.5274	-0.302542	0.442341	-0.550931	288	174	56	89	10.0021	10.0009	10.0027
289	178	51	86	0.269267	0.269283	-4.76496e-09	1.06239e-06	288	176	56	95	-0.0542985	0.066079	-0.0721075	-0.00414823	289	182	48	80	1.09294e-05	-2.70397e-06	0	0	291	167	58	85	-1.3076	-0.495453	0.571975	0.0377576	287	175	55	89	10.032	10.0007	10.003
293	180	52	87	0.673214	0.403927	1.53606e-06	2.08961e-06	290	180	56	92	0.146404	0.132104	0.0047413	-0.13946	291	184	48	80	-1.09781e-05	-2.70397e-06	0	0	290	167	59	85	-0.779268	-0.15744	0.73846	0.206797	288	177	55	89	12.275	10.0009	10.0029
299	184	52	87	1.07713	0.538562	0.134638	0.134635	297	183	54	90	0.337031	0.128484	-0.136821	-0.129238	295	185	48	80	-2.18986e-05	-5.44353e-06	0	0	291	167	60	86	0.0106336	0.0133356	0.598421	0.186364	292	179	55	89	19.742	10.0013	10.0041
302	186	53	88	1.21534e-05	6.17964e-06	2.04967e-06	1.05459e-06	304	185	56	92	0.577793	0.245619	0.0848466	0.0894977	302	188	48	80	-5.58375e-06	-2.66586e-06	0	0	291	167	60	86	0.251545	0.0741044	0.381202	0.114439	297	182	55	89	10.0005	10.0019	10.0036
310	188	53	88	-9.3999e-08	4.13742e-06	-1.03198e-06	-4.0815e-06	311	188	56	92	0.452155	0.19436	0.00142222	0.00101571	310	191	48	80	-5.58037e-06	-2.664e-06	0	0	292	168	60	86	0.941572	0.35137	0.469228	0.05188	305	185	55	89	10.0005	10.0019	10.0036
319	193	53	87	-1.65386e-05	-8.17059e-06	-1.54559e-06	-3.05428e-06	318	190	55	90	0.442648	0.120675	-0.00208002	-0.0711745	320	196	48	80	-1.67781e-07	6.85843e-08	0	0	295	169	61	86	1.87981	0.634155	0.373545	0.0142443	313	188	55	88	10.0005	10.0016	10.0036
328	197	52	87	-8.32456e-06	-4.10836e-06	-1.03198e-06	1.05459e-06	325	195	54	89	0.446402	0.264617	-0.0688697	-0.06456	328	201	48	80	-1.11557e-05	-2.6266e-06	0	0	299	172	61	85	3.26864	1.39073	0.509528	-0.354406	321	192	55	88	10.0005	10.0019	10.0036
338	205	53	87	0.673197	0.807837	-2.0592e-06	-2.02706e-06	333	198	56	92	0.400148	0.19871	0.0599166	0.115643	337	205	48	80	-2.2114e-05	-5.36616e-06	0	0	305	175	62	84	4.66018	1.84355	0.695564	-0.695821	329	196	56	88	18.5282	10.002	10.0043
341	208	52	87	4.08558e-06	-4.12392e-06	-5.18374e-07	2.08181e-06	337	204	56	90	0.300909	0.322334	-0.00417188	-0.0783634	343	212	48	80	-1.66394e-05	-8.20028e-06	0	0	309	178	63	83	4.8588	2.05737	0.849381	-0.90863	335	202	56	88	10.0005	10.0015	10.0034
342	214	53	88	8.20377e-06	1.98184e-06	-4.76496e-09	-3.05428e-06	338	210	55	90	0.0609487	0.483626	-0.00140498	0.000314798	345	219	48	80	-1.11585e-05	-2.75002e-05	0	0	313	179	64	82	4.61804	1.57289	0.948789	-1.0067	338	208	56	88	10.0005	10.0014	10.0035
338	220	53	88	1.23121e-05	-1.03271e-05	-4.76496e-09	-3.05428e-06	334	216	53	88	-0.285647	0.320109	-0.137852	-0.135981	341	224	48	80	3.26694e-05	-4.39462e-05	0	0	316	182	65	79	3.97396	1.78212	1.00036	-1.73868	337	213	56	87	10.0005	10.0016	10.0035
325	224	53	87	-1.34639	0.26926	-2.0592e-06	-2.02706e-06	327	219	53	90	-0.309763	0.188618	0.00996174	0.0646722	332	229	48	80	-2.79254e-07	-5.51598e-06	0	0	316	188	66	75	2.02373	2.4703	1.01972	-2.76132	331	218	56	86	19.9528	10.0015	10.0035
320	226	52	87	-0.134656	1.01527e-05	-0.134637	-0.134638	321	223	49	80	-0.645113	-0.018594	-0.331506	-0.669289	322	231	48	80	5.2532e-06	-1.09781e-05	0	0	313	192	66	72	-0.700532	2.60076	0.197518	-3.16207	323	222	54	83	10.0062	10.0033	10.0023
309	225	52	87	-3.59923e-07	-2.1739e-06	-1.54113e-06	-9.90254e-07	313	225	47	77	-0.588716	-0.00539903	-0.126775	-0.254766	308	230	48	80	0.000120504	1.09247e-05	0	0	307	197	64	69	-3.76159	3.03434	-0.441644	-2.87717	312	224	53	80	10.0005	10.0031	10.0029
309	224	54	90	-1.26865e-05	-1.8607e-05	3.93277e-09	2.27667e-08	302	219	51	86	-0.570698	-0.0681075	0.222262	0.513802	297	229	48	80	2.73413e-05	1.09145e-05	0	0	304	199	64	66	-3.38566	1.81501	-0.561475	-2.83216	303	222	54	81	10.0005	10.0034	10.0054
309	223	54	90	-4.46879e-06	1.4264e-05	1.03115e-06	2.0772e-06	290	213	61	99	-0.420894	0.00432925	0.624565	0.801331	282	226	48	80	5.31745e-06	-9.44647e-09	0	0	302	197	61	64	-3.13349	-0.24239	-1.27654	-2.52532	294	219	56	85	10.0009	10.0085	10.1334
309	224	53	89	1.19667e-05	1.93738e-06	1.54476e-06	3.10442e-06	280	205	68	112	-0.56033	-0.0815491	0.575891	1.06334	270	221	48	80	-3.8906e-07	5.47313e-06	0	0	302	198	60	62	-1.95247	-0.127957	-1.47036	-2.59736	287	214	59	91	10.0096	10.0197	12.8094
308	223	53	89	7.85782e-06	-1.03892e-05	-5.09676e-07	-1.00445e-06	272	195	75	125	-0.312023	-0.20437	0.442993	0.834423	259	215	48	80	2.68999e-05	1.09425e-05	0	0	305	205	58	60	-0.195486	2.69733	-1.68898	-2.05743	286	210	62	96	10.0596	10.1903	42.9403
308	224	53	89	3.74895e-06	6.04625e-06	-1.02328e-06	-2.03167e-06	272	200	82	134	0.141466	0.441337	0.314993	0.429319	250	207	48	80	4.33227e-05	2.46392e-05	0	0	305	224	56	61	-0.286456	10.1644	-1.8569	-0.462075	288	211	65	100	10.0049	10.8134	165.844
308	223	53	89	-3.59923e-07	-2.17149e-06	-1.53689e-06	-3.05889e-06	265	192	88	144	-0.172156	-0.14811	0.289214	0.489648	243	198	48	80	2.69191e-05	3.02153e-05	0	0	306	235	55	62	-0.2138	10.739	-1.41017	0.194687	292	215	64	100	10.0026	19.3619	1162.94
309	223	54	90	-3.59923e-07	1.93738e-06	1.54476e-06	3.10442e-06	262	185	91	152	-0.0743321	-0.252287	0.303104	0.618947	240	190	48	80	-4.26704e-07	2.84011e-06	0	0	306	241	55	63	-0.116041	8.82985	-0.854255	0.681554	298	221	61	94	10.0023	60.8992	2539.17
